Name,ElementType,AttackType,BaseDamage,RechargeTime
Lightning,Air,Beam,12,3
Refreshing Air,Air,Heal,20,2
Dense Cloud,Air,Projectile,16,4
Slipstream,Air,Melee,24,3
Rolling Boulder,Earth,Beam,33,2
Hot Springs,Earth,Heal,20,4
Thrown Rock,Earth,Projectile,16,1
Rocky Fist,Earth,Melee,20,3
Fire Beam,Fire,Beam,28,2
Phoenix Ashes,Fire,Heal,20,3
Fireball,Fire,Projectile,22,4
Fiery Punch,Fire,Melee,25,3
Flowing Stream,Water,Beam,12,1
Ice-Cold Water,Water,Heal,20,2
Snowball,Water,Projectile,10,3
Icy Punch,Water,Melee,14,3
